month_verify,menkan,money,is_tgt_online,int,is_gj3_online,is_ps3_online,is_h42_online,is_l52_online,is_ssqw_online,is_zgs_online,is_st1rshop_online,is_pttg_online,is_2w3_online,is_tg_online,is_sh_online,is_wm_online,is_4i1n31n_online,is_p1i4ui_online,is_4ingzuo_online,31t0_i4,31t1_i4,31t2_i4,3ity_i4,3ity_tier,region_i4,4istri3t_i4,is_su2w1y,su2w1y_4ist1n3e,is_st1tion,is_m1ll,is_wifi_info,is_p1r5,is_phone_no,2r1n3h_3nt,is_he14pi3_exist,is_newshop,is_13tive,s3ore,s3ore1,s3ore2,s3ore3,st1r,1vg_pri3e,pri3e_level,pop_s3ore,review_3nt,review_prefer,goo4_review_3nt,214_review_3nt,goo4_review_3nt_133umul1te,214_review_3nt_133umul1te,goo4_review_r1te_133umul1te
18.74879972,45,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,210,0,325,0,13431,482,0,0,0,0,1,0,1,1,1,0,1,73,73,73,73,35,27,1,0.002925664,58,11,0,0,46,12,0.791738382
4.72488885,30,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,1833,93,4,8906,3923,0,0,0,0,0,0,1,3,1,0,1,72,72,72,72,35,15,1,0.001018269,24,10,0,0,20,4,0.829875519
2.742188039,79,16,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,508,0,8,2,38,38,0,0,0,0,1,0,1,1,1,0,1,79,78,80,82,40,61,1,0.022743891,74,27,0,0,64,10,0.863697706
4.97401213,20,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,0,224,0,493,493,0,0,0,0,1,0,1,1,1,0,1,76,75,77,73,35,0,0,0,15,8,0,0,14,1,0.927152318
1.977646378,15,3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,0,213,0,4807,4807,0,0,0,0,1,0,1,1,1,0,1,78,77,79,79,40,0,0,0,15,7,0,0,14,1,0.927152318
2.628145876,15,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,210,0,149,0,8703,4307,0,0,0,0,1,0,1,1,1,0,1,80,80,80,80,40,13,1,0.001078059,23,15,0,0,22,1,0.952380952
1.630454474,200,40,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,110,0,244,0,5006,5006,0,0,0,0,1,0,1,1,1,0,1,77,76,77,76,35,56,1,0.009332546,36,7,0,0,30,6,0.831024931
1.314631783,120,30,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,102,0,899,0,65137,3975,0,0,0,0,1,1,1,1,1,0,1,71,71,72,71,35,17,1,0.16464365,35,4,0,0,29,6,0.826210826
1.475426003,40,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,1979,4,1,7048,621,0,0,0,0,1,0,1,1,1,0,1,79,79,79,80,40,13,1,0.003400616,346,6,0,0,299,47,0.863912164
0.982627733,100,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,508,0,70,4,2013,306,0,0,0,0,1,1,1,3,1,0,1,90,91,88,90,50,72,1,0.150830963,737,193,2,0,657,80,0.891330891
2.082614667,96,20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,102,0,258,4,23670,501,0,0,0,0,0,0,1,15,1,0,1,69,69,69,69,35,34,1,0.002211816,2,0,0,0,1,1,0.476190476
0.722860789,8,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,117,0,108,0,3971,3971,0,0,0,0,1,0,1,1,1,0,1,84,84,85,84,45,10,1,0.002806808,17,13,0,0,16,1,0.935672515
0.657980161,120,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,110,0,37,0,29815,3421,0,0,0,0,1,1,1,1,1,0,1,78,79,80,79,40,35,1,0.002985075,1,0,0,0,0,1,0
0.657358484,100,25,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,110,0,157,0,13004,4272,0,0,0,0,1,1,1,1,1,0,1,81,82,82,82,40,111,2,0.006352033,104,3,0,0,89,15,0.854947166
0.77396827,12,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,210,0,166,0,4435,4435,0,0,0,0,1,0,1,1,1,0,1,74,74,74,74,35,18,1,0.000958466,5,1,0,0,4,1,0.784313725
2.620340622,200,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,508,0,70,4,2013,306,0,0,0,0,1,1,1,3,1,0,1,90,91,88,90,50,72,1,0.150830963,737,193,2,0,657,80,0.891330891
